,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
12318,['Cabinet of Vice-President Margaritis Schinas'],[],"('Chris Uregian', 'Despina Spanou')","('Cabinet member', 'Cabinet member')",12/01/22,"('494613715191-85',)",Cisco Systems Inc.,Brussels,"- the transatlantic relationship
- the eu security/cybersecurity agenda
- skills
- support to ukraine"
12319,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Michael Hager',)","('Cabinet member',)",12/01/22,"('494613715191-85',)",Cisco Systems Inc.,Brussels,digital economy
12330,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Michael Hager',)","('Cabinet member',)",12/01/22,"('90142503473-81',)",Vodafone Belgium SA,Brussels,digital economy.
12331,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Christiane Canenbley', 'Michele Piergiovanni')","('Cabinet member', 'Cabinet member')",12/01/22,"('90142503473-81',)",Vodafone Belgium SA,Brussels,digital economy..
12384,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",12/07/22,"('022201744710-44',)",World Travel and Tourism Council,Brussels,"1) wttc's role in the travel and tourism sector
2) wttc's global summit"
12385,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",12/07/22,"('022201744710-44',)",World Travel and Tourism Council,Brussels,sustainable tourism
12400,['Cabinet of President Ursula von der Leyen'],[],"('Peter van Kemseke', 'Kurt Vandenberghe')","('Cabinet member', 'Cabinet member')",12/07/22,"('9171899949-17',)",JPMorgan Chase & Co.,Brussels,"european green deal, the energy situation and other financial-related aspects of the transition."
12401,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Antoine Colombani',)","('Cabinet member',)",12/07/22,"('9171899949-17',)",JPMorgan Chase & Co.,Brussels,"green deal, sustainable finance"
12406,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Suvi Leinonen',)","('Cabinet member',)",12/07/22,"('962687110415-94',)",Metsäliitto Cooperative,Brussels,"biodiversity, taxonomy, forest monitoring law."
12407,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Elena Montani',)","('Cabinet member',)",12/07/22,"('962687110415-94',)",Metsäliitto Cooperative,Virtual,"eu forest policy, including in the proposal for a nature restoration regulation"
12410,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",12/08/22,"('05032108616-26',)",Shell Companies,Brussels,fit for 55
12411,['Cabinet of Commissioner Adina Vălean'],[],"('Filip Alexandru Negreanu Arboreanu',)","('Cabinet member',)",12/08/22,"('05032108616-26',)",Shell Companies,Brussels ,"refueleu aviation, fueleu maritime, afir"
12430,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",12/08/22,"('987000037766-14',)",ChargeUp Europe,Brussels,discussion on deploying charging infrastructure across europe
12431,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",12/08/22,"('987000037766-14',)",ChargeUp Europe,"Brussels, Belgium","transition to zero-emission mobility, route35"
12449,[],"['Internal Market, Industry, Entrepreneurship and SMEs']","('Kerstin Jorna',)","('Director-General',)",12/12/22,"('070028236358-54',)",ASML Netherlands B.V.,Brussels,asml would like to expose their position concerning position paper  on eu chips act
12450,[],['Trade'],"('Sabine Weyand',)","('Director-General',)",12/12/22,"('070028236358-54',)",ASML Netherlands B.V.,Brussels,"us export control measures, export controls on semi-conductor manufacturing equipment."
12470,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello', 'Caroline Boeshertz')","('Cabinet member', 'Cabinet member')",12/13/22,"('40471017282-57',)",Samsung Electronics Europe,video call ,"critical raw materials act, forced labour product prohibition regulation, directive on corporate sustainability due diligence"
12471,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Katherine Power',)","('Cabinet member',)",12/13/22,"('40471017282-57',)",Samsung Electronics Europe,Online meeting,csrd
12490,['Cabinet of Vice-President Dubravka Šuica'],[],"('Toma Sutic',)","('Cabinet member',)",12/14/22,"('535247344998-75',)",Abodoo Limited,Online,meeting on european start up village
12491,['Cabinet of President Ursula von der Leyen'],[],"('Maria Luisa Cabral',)","('Cabinet member',)",12/14/22,"('535247344998-75',)",Abodoo Limited,Videoconference,year of skills 2023
12503,['Cabinet of Commissioner Ylva Johansson'],[],"('Giulio Di Blasi',)","('Cabinet member',)",12/15/22,"('200145833328-59',)","Center for Reproductive Rights, Inc.",Berlaymont,findings on srhr and gbv support needs of ukraine refugees
12504,['Cabinet of Vice-President Věra Jourová'],[],"('Zuzana Dorazilova',)","('Cabinet member',)",12/15/22,"('200145833328-59',)","Center for Reproductive Rights, Inc.",Brussels,support of victims of gender based violence
12557,['Cabinet of President Ursula von der Leyen'],[],"('Bjoern Seibert',)","('Cabinet member',)",01/09/23,"('592343015058-67',)",European Union Chamber of Commerce in China,"Brussels, Belgium","covid wave impact 
eu china trade relations"
12558,['Cabinet of High Representative Josep Borrell Fontelles'],[],"('Camilo Villarino',)","('Cabinet member',)",01/09/23,"('592343015058-67',)",European Union Chamber of Commerce in China,"Brussels, Belgium ","the meeting was with mr joerg wuttke, the president of euccc and his team. they exchange views on china's economic and political situation as well as prospects for eu-china relations."
12560,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg',)","('Cabinet member',)",01/09/23,"('6437280268-55',)",Gesamtverband der Deutschen Versicherungswirtschaft e.V.,online,access to in-vehicle data
12561,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Andrea Beltramello',)","('Cabinet member',)",01/09/23,"('6437280268-55',)",Gesamtverband der Deutschen Versicherungswirtschaft e.V.,video conference ,retail investment strategy.
12562,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Agnieszka Drzewoska',)","('Cabinet member',)",01/09/23,"('6437280268-55',)",Gesamtverband der Deutschen Versicherungswirtschaft e.V.,Virtual meeting,retail investment strategy..
12567,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Tommy De Temmerman',)","('Cabinet member',)",01/10/23,"('0764199368-97',)",Bundesverband deutscher Banken e.V.,Virtual Meeting,bank macroprudential regulation
12568,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Michael Hager',)","('Cabinet member',)",01/10/23,"('0764199368-97',)",Bundesverband deutscher Banken e.V.,Brussels,retail investment legislative package
12569,['Cabinet of Commissioner Didier Reynders'],[],"('Didier Reynders', 'Lucrezia Busa', 'Geneviève Tuts')","('Commissioner', 'Cabinet member', 'Cabinet member')",01/10/23,"('165202837974-32',)",TikTok Technology Ltd,Brussels,"code of conduct on hate speech, data protection, consumers protection"
12570,['Cabinet of Commissioner Ylva Johansson'],[],"('Ylva Johansson',)","('Commissioner',)",01/10/23,"('165202837974-32',)",TikTok Technology Ltd,CAB Johansson meeting room,"csa, tco and radicalization online"
12571,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",01/10/23,"('165202837974-32',)",TikTok Technology Ltd,Brussels,digital services act
12572,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Werner Stengg', 'Margrethe Vestager')","('Cabinet member', 'Executive Vice-President')",01/10/23,"('165202837974-32',)",TikTok Technology Ltd,Brussels,"dsa, disinformation."
12582,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Valdis Dombrovskis ',)","('Executive Vice-President',)",01/10/23,"('592343015058-67',)",European Union Chamber of Commerce in China,Bruxelles,"- eu and china trade and economic relations: latest developments
- macroeconomic developments in china
- lifting of covid19 measures in china
- european smes in china
- potential for eu-china cooperation on energy transition"
12583,[],['Energy'],"('Ditte Juul Jørgensen',)","('Director-General',)",01/10/23,"('592343015058-67',)",European Union Chamber of Commerce in China,"Brussels, Belgium",eu-china relations
12584,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",01/10/23,"('592343015058-67',)",European Union Chamber of Commerce in China,"Brussels, Belgium",key transport issues with china
12602,['Cabinet of Vice-President Margaritis Schinas'],[],"('Maria Luisa Llano Cardenal',)","('Cabinet member',)",01/11/23,"('55820581197-35',)",SMEunited aisbl,Brussels,european year of skills (with cabinet commissioner schmit)
12603,['Cabinet of Commissioner Nicolas Schmit'],[],"('Christoph Nerlich', 'Anouk Faber')","('Cabinet member', 'Cabinet member')",01/11/23,"('55820581197-35',)",SMEunited aisbl,Brussels ,meeting on the european year of skills
12609,[],['Energy'],"('Ditte Juul Jørgensen',)","('Director-General',)",01/11/23,"('750078047872-66',)",Axcelfuture,"Brussels, Belgium",energy transition
12610,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Aleksandra Tomczak',)","('Cabinet member',)",01/11/23,"('750078047872-66',)",Axcelfuture,Brussels,hydrogen bank
12611,['Cabinet of Commissioner Stella Kyriakides'],[],"('Ines Prainsack', 'Annukka Ojala')","('Cabinet member', 'Cabinet member')",01/11/23,"('77105321408-83',)",Fédération Européenne des Fabricants d'Aliments Composés,Brussels,"exchange on the impact of biomass and traditional feed co-products from the biogas sector, on circular feed contributions to the sustainable food systems and a voluntary eu guideline for compound feed labelling."
12612,['Cabinet of Commissioner Janusz Wojciechowski'],[],"('Maciej Golubiewski',)","('Cabinet member',)",01/11/23,"('77105321408-83',)",Fédération Européenne des Fabricants d'Aliments Composés,Brussels,meeting with fefac's members
12639,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Stina Soewarta', 'Alejandro Cainzos')","('Cabinet member', 'Cabinet member')",01/13/23,"('592343015058-67',)",European Union Chamber of Commerce in China,Brussels,eu-china relations
12640,['Cabinet of Commissioner Paolo Gentiloni'],[],"('Marco Buti',)","('Cabinet member',)",01/13/23,"('592343015058-67',)",European Union Chamber of Commerce in China,Brussels,general overview of the situation for european businesses in china
12641,[],['Research and Innovation'],"('Signe Ratso',)","('Acting Director-General',)",01/13/23,"('592343015058-67',)",European Union Chamber of Commerce in China,Brussels,meeting with the president of the eu chamber of commerce in china and their delegation.
12669,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Michele Piergiovanni', 'Marta Balossino', 'Alejandro Cainzos')","('Cabinet member', 'Cabinet member', 'Cabinet member')",01/17/23,"('25487567824-45',)",European Round Table for Industry,Brussels,ira
12670,[],['Budget'],"('Gert-Jan Koopman',)","('Director-General',)",01/17/23,"('25487567824-45',)",European Round Table for Industry,Brussels,neighborhood strategy
12690,['Cabinet of Vice-President Věra Jourová'],[],"('Věra Jourová',)","('Vice-President',)",01/18/23,"('03181945560-59',)",Google,Davos,artificial intelligence
12691,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Virginijus Sinkevičius', 'Simonas ŠATŪNAS')","('Commissioner', 'Cabinet member')",01/18/23,"('03181945560-59',)",Google,Davos,"initiatives to help consumers to be more informed on circularity, waste reduction and consumption reduction."
12700,['Cabinet of Commissioner Mariya Gabriel'],[],"('Mariya Gabriel',)","('Commissioner',)",01/18/23,"('236869539281-13',)",The LEGO Group,"Davos, Switzerland","erasmus impact
innovative education"
12701,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Virginijus Sinkevičius', 'Simonas ŠATŪNAS')","('Commissioner', 'Cabinet member')",01/18/23,"('236869539281-13',)",The LEGO Group,Davos,eu ambitions to tackle plastics waste and international plastics' agreement
12718,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Margrethe Vestager', 'Thomas Woolfson')","('Executive Vice-President', 'Cabinet member')",01/18/23,"('64869491516-70',)",Stichting European Climate Foundation,Brussels,about europe's role in in the transition to a net-zero emissions economy
12719,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",01/18/23,"('64869491516-70',)",Stichting European Climate Foundation,Brussels,preparation of cop28
12720,['Cabinet of Commissioner Thierry Breton'],[],"('Joan Canton',)","('Cabinet member',)",01/18/23,"('64869491516-70',)",Stichting European Climate Foundation,"Brussels, Belgium","response to us ira, green transition of industry"
12721,['Cabinet of President Ursula von der Leyen'],['Climate Action'],"('Peter van Kemseke', 'Kurt Vandenberghe', 'Kurt Vandenberghe')","('Cabinet member', 'Cabinet member', 'Director-General')",01/18/23,"('64869491516-70',)",Stichting European Climate Foundation,Brussels,"supporting work around a european response to the us ira, the need for a new investment wave in climate-friendly technologies and the upcoming electricity market design reform."
12742,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Riccardo Maggi', 'Helena Braun')","('Cabinet member', 'Cabinet member')",01/19/23,"('4271427696-87', '676889648373-61')","Eurelectric aisbl,EDP SA",video-call,questions around the co-existence of biodiversity enhancement and renewable energy deployment.
12743,['Cabinet of Commissioner Virginijus Sinkevičius'],[],"('Elena Montani',)","('Cabinet member',)",01/19/23,"('4271427696-87', '676889648373-61')","Eurelectric aisbl,EDP SA",Virtual,questions around the co-existence of biodiversity enhancement and renewable energy deployment..
12753,[],['Foreign Policy Instruments'],"('Peter Wagner',)","('Director',)",01/19/23,"('923424020779-19',)",Rasmussen Global,Brussels,reconnecting ukraine
12754,[],['Foreign Policy Instruments'],"('Peter Wagner',)","('Director',)",01/19/23,"('923424020779-19',)",Rasmussen Global,Brussels,security guarantees
12792,['Cabinet of Commissioner Mairead Mcguinness'],[],"('Deirdre O’Hea',)","('Cabinet member',)",01/24/23,"('535247344998-75',)",Abodoo Limited,"Brussels, Belgium",financial literacy
12793,['Cabinet of Commissioner Nicolas Schmit'],[],"('Christoph Nerlich', 'Anouk Faber')","('Cabinet member', 'Cabinet member')",01/24/23,"('535247344998-75',)",Abodoo Limited,Brussels ,meeting on the european year of skills and the pact for skills
12795,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Stina Soewarta', 'Alejandro Cainzos')","('Cabinet member', 'Cabinet member')",01/24/23,"('590425913785-60',)",Global Counsel Limited,Brussels,trade and technology council
